"conno","clssc_nm","entrp_nm","cont","unmrg_yr","undrt_ntn_nm","undrt_entrp_itm_nm","sell_ntn_nm","sell_entrp_nm","sell_entrp_itm_nm","unmrg_amt_val","unmrg_prps_cont","spftr_cont","rmrk","opert_sctin_cd","data_crtin_dt","cntct_prces_stts_cd","cntct_prces_dt"
"911",국내-해외(In-Out),빅히트 아메리카,"<p style=""line-height: 2;""><span style=""font-family: 나눔고딕, NanumGothic; color: rgb(34, 34, 34);""><span style=""font-size: 17px; letter-spacing: -0.34px;"">K방탄소년단이 소속된 하이브는 2일 자회사 빅히트 아메리카가 이타카 홀딩스(이하 이타카) 지분 100%를 인수한다고 밝혔다. 인수 규모는 10억5000만달러(1조1860억원)로 국내 엔터테인먼트 기업의 M&amp;A 역사상 최대 규모이자 국내 기업 최초의 해외 레이블 인수다.</span></span></p><p style=""line-height: 2;""><span style=""font-family: 나눔고딕, NanumGothic; color: rgb(34, 34, 34);""><span style=""font-size: 17px; letter-spacing: -0.34px;""><br></span></span></p><p style=""line-height: 2;""><span style=""font-family: 나눔고딕, NanumGothic; color: rgb(34, 34, 34);""><span style=""font-size: 17px; letter-spacing: -0.34px;"">방시혁 의장은 ""세계 최고의 파트너와 함께 또 한번의 도약을 하려 한다. 하이브와 이타카는 큰 꿈을 안고 빈손으로 출발해 세계적인 기업으로 성장했다는 공통점을 갖고 있다. 지금까지와는 또 다른 차원에서 음악산업의 새 패러다임을 열어갈 하이브와 이타카의 무한한 가능성을 지켜봐달라""고 밝혔다.</span></span></p>","2021",대한민국,엔터테인먼트,미국,이타카 홀딩스,이타카 홀딩스,"11,860",하이브 아티스트의 미국진출 / 방탄소년단 입대에 따른 위험 해소 / 음악적 스펙트럼 확대 등,"하이브와 이타카는 전문적으로 세분화된 시스템을 통해 새로운 문화 패러다임을 만들고, 그 문화 혁신을 바탕으로 팬덤을 운집시키며, 이를 통한 2차, 3차 비즈니스의 확장으로 수익을 극대화한다는 공통점을 갖고 있다. 이 기본적인 구조에서 의견합치를 보며 역사상 최대 규모의 M&A가 성사됐다.",https://sports.chosun.com/news/ntype.htm?id=202104,I,"20221108",S,"20231014"
"12",해외-해외(Out-Out),씨티코프,"<p>이번 합병의 눈길을 끈것은 합병방식이다. 다른 일반적인 합병과 달리 새로운 지주회사인 '시티그룹'을 만들어 트래블러스 주주는 시티그룹 주식을 1대1로 교환하고, 시티코프 주주는 1주당 시티그룹 주식 2.5주를 배정받게 되는 방식으로써 대금은 오직 주식교환으로만 이루어졌다.<br></p>","1998",미국,금융,미국,트래블러스 그룹,트래블러스 그룹,"1400억달러",시장 경쟁력 강화,"20세기 중 금융업 관련 가장 큰 합병액","",I,"20210119",S,"20231014"
"158",국내-국내(In-In),다음커뮤니케이션,<p>다음커뮤니케이션은 모발일 광고시장 영역 확대 및 글로벌 마켓 진출을 위해 이번 인수를 진행<br></p>,"2013","",인터넷 정보매개 서비스,"",TNK팩토리,TNK팩토리,"54",시장확대,지분 51%,"",I,"20210119",S,"20231014"
"677",국내-국내(In-In),혜인,"<p>㈜혜인은 ㈜혜인산업의 발행주식 100%를 소유하고 있으며, 합병 신주를 발행하지 않는 무증자 합병으로 진행하므로 본 합병이 존속회사인 혜인의 경영, 재무, 영업에 유의적인 영향을 미치지는 않을 것이나, 완전자회사 합병을 통한 경영효율성 증대가 기대됨.</p><p>본 합병 완료시 혜인은 존속회사로 남아있고 헤인산업은 합병 후 하산하게 되며, 본 합병은 신주를 발행하지 않는 무증자 합병임.</p>","2019","",중장비 발전기 부품 제조,"",혜인산업,혜인산업,"",사업경쟁력 강화 및 경영효율성 제고,"","",I,"20210119",S,"20231014"
"355",국내-국내(In-In),코오롱환경서비스,"<p>합병회사인 코오롱환경서비스(주)는 피합병회사인 (주)코오롱아이포트리스의 주식을 100% 소유하고 있으며, 합병시 합병회사는 피합병회사의 주식에 대해 무증자방식에 의하여 1:0의 합병비율에 따라 합병하기로 결의함<br></p>","2018","",산업/환경설비공사업,"",코오롱아이포트리스,코오롱아이포트리스,"",사업영역확대 및 사업간 시너지 효과의 극대화를통한 기업가치 제고,"","",I,"20210119",S,"20231014"
"464",해외-해외(Out-Out),하이얼,"<p>중국 하이얼이 미국 제너럴일렉트릭(GE) 가전사업부문을 전격 인수한다. 매각대금은 54억달러(6조5000억원)이며 조명사업은 GE에 남는다.</p><p>하이얼은 이번 인수로 미국 생활가전 시장에서 스웨덴 일렉트로룩스, 삼성전자, LG전자 등 경쟁사를 넘어설 기반을 갖췄고, 이제 미국 생활가전 시장은 월풀이 선두를 차지한 가운데 삼성전자, LG전자, GE가 뒤를 잇고 있다.</p><p>이번 인수는 하이얼이 중국 중저가 가전 이미지를 벗고 해외 프리미엄 가전 시장에 본격 진출한다는 의미를 갖는다.</p>","2016",중국,전자가전,미국,GE,GE,"54억달러",사업 경쟁력 강화,"","",I,"20210119",S,"20231014"
"671",국내-국내(In-In),제이준코스메틱,<p>제이준코스메틱이 알에프텍의 지분 20.28%를 확보함으로써 최대주주가 될 전망이다. 12월 5일 알에프텍의 정혁진 사내이사가 보유하고 있던 198만5천422주에 대한 양수도 계약을 체결하였으며 동시에 공동 최대주주 차정운 대표의 주식 180만 주를 234억원에 양수하는 계약을 체결하였다.</p><p>제이준코스메틱은 알에프텍의 IT기술을 접목한 LED 마스크 또는 홈 뷰티 디바이스 사업으로 사업 영역을 다각화하려는 의도로 이번 인수를 진행한것으로 보인다.</p>,"2019","",화장품,"",알에프렉,알에프렉,"432(추정)",LED 마스크 사업 진출,지분 19.33%(최대주주),"",I,"20210119",S,"20231014"
"163",국내-국내(In-In),라인플러스,<p>라인플러스 측은 이번 진행은 디자인 개발 인력 확보 차원에서 진행된 것이고 향후 라인플러스 크리에이티브 센터에서 디잔인 프로젝트에 투입될 예정이라 밝히며 이번 인수의 이유를 설명하였다. 인수조건은 지분 100% 인수금액은 밝히지 않았다.<br></p>,"2014","",모바일 정보매개 서비스,"",위트스튜디오,위트스튜디오,"",기술 및 인재 확보,"","",I,"20210119",S,"20231014"
"65",국내-해외(In-Out),델파이,<p>미국 최대 자동차 부품회사인 델파이가 한국 자동차 부품업체 KUM을 인수했다. 3년 만의 한국 시장 귀한이다.</p><p>델파이는 울산에 본사를 두고 자동차 커넥터를 생산하는 KUM지분 100%를 사들였다.</p>,"2018",미국,자동차부품,한국,KUM,KUM,"5,400",경쟁력제고,"","",I,"20210119",S,"20231014"
"290",국내-국내(In-In),태양씨앤엘,"<p>소멸법인인 주식회사 공감이앤티의 최대주주는 존속법인인 주식회사 태양씨앤엘 이며 존속법인은 소멸법인의 지분 99.85%를 보유하고 있습니다. 또한 존속법인과 소멸법인은 주식회사 태양씨앤엘: 주식회사 공감이앤티 = 1 : 9.3046127 로 흡수합병하며, 본 합병으로 인하여 존속법인이 발행할 신주는 12,392주 입니다.</p><p>본 합병 완료시, 최대주주의 변경은 없으며, 주식회사 태양씨앤엘 이라는 존속법인으로 계속 남아 있게 됩니다.</p><p>- 합병법인의 합병가액 :&nbsp; 1,149원</p><p>- 피합병법인의 합병가액 : 10,691원</p>","2017","",폐기물 처리업,"",공감이앤티,공감이앤티,"77",매출 및 수익구조 개선효과,"","",I,"20210119",S,"20231014"
